Ref,Val,Package,PosX,PosY,Rot,Side
"C201","0.1u","C_0402_1005Metric",53.975000,-47.625000,180.000000,bottom
"C202","0.1u","C_0402_1005Metric",53.975000,-43.815000,180.000000,bottom
"C203","0.1u","C_0402_1005Metric",53.975000,-40.005000,180.000000,bottom
"C204","0.1u","C_0402_1005Metric",53.975000,-36.195000,180.000000,bottom
"C205","22n","C_0805_2012Metric",38.735000,-36.195000,180.000000,bottom
"C206","22n","C_0805_2012Metric",38.735000,-40.005000,180.000000,bottom
"C207","22n","C_0805_2012Metric",38.735000,-43.815000,180.000000,bottom
"C208","22n","C_0805_2012Metric",38.735000,-47.625000,180.000000,bottom
"C209","1n","C_1206_3216Metric",40.005000,-32.512000,0.000000,bottom
"C210","10u","C_0805_2012Metric",53.975000,-34.544000,0.000000,bottom
"C211","10u","C_0805_2012Metric",63.119000,-46.990000,270.000000,bottom
"C212","0.1u","C_0402_1005Metric",64.389000,-37.084000,0.000000,bottom
"C213","0.1u","C_0402_1005Metric",64.389000,-38.227000,0.000000,bottom
"C214","0.1u","C_0402_1005Metric",64.389000,-43.942000,0.000000,bottom
"C215","0.1u","C_0402_1005Metric",69.977000,-44.831000,90.000000,bottom
"C216","0.1u","C_0402_1005Metric",72.771000,-42.926000,180.000000,bottom
"C217","0.1u","C_0402_1005Metric",72.771000,-39.624000,180.000000,bottom
"C218","0.1u","C_0402_1005Metric",69.596000,-36.449000,270.000000,bottom
"C219","10u","C_0805_2012Metric",72.009000,-36.449000,180.000000,bottom
"C220","0.1u","C_0402_1005Metric",66.802000,-44.831000,90.000000,bottom
"C221","0.1u","C_0402_1005Metric",71.247000,-44.831000,90.000000,bottom
"C222","0.1u","C_0402_1005Metric",72.771000,-40.894000,180.000000,bottom
"C223","0.1u","C_0402_1005Metric",72.771000,-38.100000,180.000000,bottom
"C224","0.1u","C_0402_1005Metric",68.453000,-36.449000,270.000000,bottom
"C225","0.1u","C_0402_1005Metric",64.389000,-39.370000,0.000000,bottom
"C226","0.1u","C_0402_1005Metric",64.389000,-40.513000,0.000000,bottom
"C227","0.1u","C_0402_1005Metric",64.389000,-41.656000,0.000000,bottom
"C228","0.1u","C_0402_1005Metric",64.389000,-42.799000,0.000000,bottom
"C229","10u","C_0805_2012Metric",60.960000,-46.990000,270.000000,bottom
"C230","10n","C_0402_1005Metric",65.913000,-36.576000,270.000000,bottom
"C231","0.1u","C_0402_1005Metric",67.056000,-36.576000,270.000000,bottom
