Ref,Val,Package,PosX,PosY,Rot,Side
"C101","0.1u","C_0402_1005Metric",64.516000,-50.165000,270.000000,top
"C310","10u","C_0805_2012Metric",88.265000,-58.674000,0.000000,top
"C401","4.7u","C_0805_2012Metric",54.356000,-65.659000,90.000000,top
"C402","4.7u","C_0805_2012Metric",61.214000,-65.659000,90.000000,top
"C403","22u","C_1206_3216Metric",33.020000,-68.580000,180.000000,top
"C404","22u","C_1206_3216Metric",33.020000,-71.374000,180.000000,top
"C405","1u","C_0603_1608Metric",57.785000,-60.325000,90.000000,top
"C407","22p","C_0603_1608Metric",55.880000,-60.325000,270.000000,top
"C408","22p","C_0603_1608Metric",59.690000,-60.325000,270.000000,top
"C410","22u","C_1206_3216Metric",56.134000,-55.245000,90.000000,top
"C411","4.7u","C_0805_2012Metric",59.563000,-55.880000,90.000000,top
"D301","1N4148WS","D_SOD-323",85.471000,-59.309000,90.000000,top
"FID1","Fiducial_1mm_Dia_2mm_Outer","Fiducial_1mm_Dia_2mm_Outer",27.940000,-73.660000,0.000000,top
"FID2","Fiducial_1mm_Dia_2mm_Outer","Fiducial_1mm_Dia_2mm_Outer",27.940000,-27.940000,0.000000,top
"FID3","Fiducial_1mm_Dia_2mm_Outer","Fiducial_1mm_Dia_2mm_Outer",116.840000,-39.370000,0.000000,top
"R101","22","R_0402_1005Metric",76.708000,-38.354000,180.000000,top
"R102","22","R_0402_1005Metric",78.740000,-39.116000,180.000000,top
"R103","22","R_0402_1005Metric",76.708000,-39.878000,180.000000,top
"R104","22","R_0402_1005Metric",78.740000,-40.640000,180.000000,top
"R105","22","R_0402_1005Metric",76.708000,-41.402000,180.000000,top
"R106","22","R_0402_1005Metric",78.740000,-42.164000,180.000000,top
"R107","22","R_0402_1005Metric",76.708000,-42.926000,180.000000,top
"R108","22","R_0402_1005Metric",78.740000,-43.688000,180.000000,top
"R109","22","R_0402_1005Metric",78.740000,-36.068000,180.000000,top
"R110","22","R_0402_1005Metric",78.740000,-37.592000,180.000000,top
"R111","22","R_0402_1005Metric",76.708000,-36.830000,180.000000,top
"R201","10k","R_0402_1005Metric",69.215000,-34.163000,180.000000,top
"R211","10k","R_0402_1005Metric",65.278000,-46.863000,90.000000,top
"R214","10k","R_0402_1005Metric",62.992000,-46.863000,90.000000,top
"R221","1k","R_0402_1005Metric",64.135000,-46.863000,270.000000,top
"R225","6.04k","R_0603_1608Metric",64.135000,-34.671000,180.000000,top
"R301","10k","R_0402_1005Metric",82.550000,-57.150000,0.000000,top
"R308","10k","R_0402_1005Metric",87.122000,-60.706000,90.000000,top
"R309","10k","R_0402_1005Metric",74.803000,-49.022000,0.000000,top
"R310","10k","R_0402_1005Metric",74.803000,-47.879000,0.000000,top
"R311","10k","R_0402_1005Metric",87.884000,-43.561000,270.000000,top
"R312","10k","R_0402_1005Metric",86.741000,-43.561000,270.000000,top
"R313","10k","R_0402_1005Metric",85.598000,-43.561000,270.000000,top
"R314","10k","R_0402_1005Metric",90.170000,-43.815000,270.000000,top
"R315","10k","R_0402_1005Metric",80.264000,-56.896000,90.000000,top
"R316","10k","R_0402_1005Metric",76.835000,-50.800000,270.000000,top
"R317","dnp","R_0402_1005Metric",83.439000,-58.547000,0.000000,top
"R318","1k","R_0402_1005Metric",74.803000,-51.435000,180.000000,top
"R319","1k","R_0402_1005Metric",76.581000,-52.578000,180.000000,top
"R320","1k","R_0402_1005Metric",76.581000,-53.721000,180.000000,top
"R321","1k","R_0402_1005Metric",89.027000,-43.815000,90.000000,top
"R322","1k","R_0402_1005Metric",83.439000,-59.690000,180.000000,top
"R323","1k","R_0402_1005Metric",74.803000,-50.165000,180.000000,top
"R324","1k","R_0402_1005Metric",76.581000,-54.864000,180.000000,top
"R325","6.04k","R_0603_1608Metric",88.265000,-56.769000,0.000000,top
"R401","2.1","R_0603_1608Metric",36.830000,-69.215000,270.000000,top
"U401","LTC3622*DE","DFN-14-1EP_3x4mm_P0.5mm_EP1.7x3.3mm",57.785000,-64.770000,90.000000,top
"X101","25 MHz","Crystal_SMD_2520-4Pin_2.5x2.0mm",67.310000,-50.165000,0.000000,top
